slice_id,mae,mse,psnr,ssim,lpips
YG_2LEC0G5PJYWI_1_2_z129,0.047097742557525635,0.006327011622488499,21.988013452373686,0.7399280922946995,0.21776153147220612
YG_2LEC0G5PJYWI_2_3_z075,0.05414082109928131,0.011706609278917313,19.31568870162631,0.6737273194623355,0.23837938904762268
YG_2LEC0G5PJYWI_2_3_z078,0.058480292558670044,0.011617692187428474,19.348801423093708,0.6129259208231063,0.29691189527511597
YG_2LEC0G5PJYWI_2_3_z081,0.0649934709072113,0.011984627693891525,19.213754589028127,0.5990521627348988,0.25361067056655884
YG_2LEC0G5PJYWI_2_3_z084,0.05507102236151695,0.010369527153670788,19.84241028887604,0.6069593112580045,0.2583714425563812
YG_2LEC0G5PJYWI_2_3_z087,0.06882497668266296,0.012286239303648472,19.105810378817438,0.6000157961646001,0.2896249294281006
YG_2LEC0G5PJYWI_2_3_z090,0.051007822155952454,0.00764844473451376,21.164268759057663,0.6283262638772752,0.27534914016723633
YG_2LEC0G5PJYWI_2_3_z093,0.05811403691768646,0.009769267402589321,20.101379952406965,0.5669223258493794,0.3011195659637451
YG_2LEC0G5PJYWI_2_3_z096,0.049011263996362686,0.008002574555575848,20.967703130694293,0.6207113865213072,0.252790629863739
YG_2LEC0G5PJYWI_2_3_z099,0.0529550164937973,0.009371082298457623,20.282102912873068,0.5950674595672111,0.24945884943008423
YG_2LEC0G5PJYWI_2_3_z102,0.08203509449958801,0.014523029327392578,18.379427952181935,0.6440574288795644,0.2456703782081604
YG_2LEC0G5PJYWI_2_3_z105,0.07439850270748138,0.01342903170734644,18.71955308166706,0.5904347848632533,0.27536022663116455
YG_2LEC0G5PJYWI_2_3_z108,0.07816459238529205,0.014169368892908096,18.48649495612997,0.43624850003772575,0.4443710446357727
YG_2LEC0G5PJYWI_2_3_z111,0.05981476977467537,0.009204157628118992,20.36016003840416,0.5702132434628181,0.3386232852935791
YG_2LEC0G5PJYWI_2_3_z114,0.05370712652802467,0.00785674899816513,21.047571067558298,0.6645363093953742,0.23984208703041077
YG_2LEC0G5PJYWI_2_3_z117,0.03491194546222687,0.004168285522609949,23.80042546724413,0.7261331649290961,0.20247475802898407
YG_2LEC0G5PJYWI_2_3_z120,0.040073707699775696,0.005579077638685703,22.53437610773811,0.6725161987763487,0.22772663831710815
YG_2LEC0G5PJYWI_2_3_z123,0.04762231931090355,0.006380682811141014,21.951328441033553,0.6826121818989969,0.2235811948776245
YG_2LEC0G5PJYWI_2_3_z126,0.03212754800915718,0.004311948083341122,23.653265034287365,0.7066451365245775,0.21711698174476624
YG_2LEC0G5PJYWI_2_3_z129,0.052535586059093475,0.007386601064354181,21.315553444610707,0.7218313052592233,0.2236562967300415
YG_2LEC0G5PJYWI_2_4_z075,0.07250551134347916,0.016808200627565384,17.744787677182284,0.601355332031932,0.2766011953353882
YG_2LEC0G5PJYWI_2_4_z078,0.07474256306886673,0.018426094204187393,17.3456675361918,0.6055280484764821,0.28521251678466797
YG_2LEC0G5PJYWI_2_4_z081,0.05857790261507034,0.011940116994082928,19.229914068032517,0.6251263565404976,0.24646012485027313
YG_2LEC0G5PJYWI_2_4_z084,0.11338475346565247,0.027791710570454597,15.560847135218367,0.40485558112871045,0.44774314761161804
YG_2LEC0G5PJYWI_2_4_z087,0.10686984658241272,0.022012384608387947,16.57332918618517,0.44833327315588534,0.4080340266227722
YG_2LEC0G5PJYWI_2_4_z090,0.04427794739603996,0.006840321235358715,21.6492352372969,0.6317706429321966,0.26444125175476074
YG_2LEC0G5PJYWI_2_4_z093,0.06535989791154861,0.012713114731013775,18.957480028442937,0.551624442313131,0.33308708667755127
YG_2LEC0G5PJYWI_2_4_z096,0.049669116735458374,0.007740765810012817,21.11216059332463,0.626374475370043,0.2517778277397156
YG_2LEC0G5PJYWI_2_4_z099,0.06095300614833832,0.009599078446626663,20.177704438985916,0.6596735064444574,0.23628968000411987
YG_2LEC0G5PJYWI_2_4_z102,0.0487956777215004,0.007476824801415205,21.26282820878755,0.6293150774000692,0.24541178345680237
YG_2LEC0G5PJYWI_2_4_z105,0.0799952894449234,0.015200779773294926,18.18134139895214,0.5461659925695364,0.31913089752197266
YG_2LEC0G5PJYWI_2_4_z108,0.047341782599687576,0.007606140337884426,21.1883567361392,0.635175464673539,0.2718454599380493
YG_2LEC0G5PJYWI_2_4_z111,0.06042584776878357,0.010445334017276764,19.810776607250563,0.5614483929641777,0.3232317864894867
YG_2LEC0G5PJYWI_2_4_z114,0.04452955722808838,0.0067506819032132626,21.706523486719004,0.6310460812572611,0.2558339536190033
YG_2LEC0G5PJYWI_2_4_z117,0.04041814059019089,0.005625100340694189,22.498697142360136,0.7192121093270235,0.2153310477733612
YG_2LEC0G5PJYWI_2_4_z120,0.036045052111148834,0.005083877127617598,22.93804906847321,0.6964348742952507,0.21930550038814545
YG_2LEC0G5PJYWI_2_4_z123,0.04985012859106064,0.006651665549725294,21.77069601494648,0.692599654476218,0.2642388939857483
YG_2LEC0G5PJYWI_2_4_z126,0.04627006873488426,0.0067478688433766365,21.708333487947304,0.6530489294523406,0.26191598176956177
YG_2LEC0G5PJYWI_2_4_z129,0.04406561702489853,0.007176117971539497,21.441104353246118,0.682256595687097,0.23933036625385284
YG_2LEC0G5PJYWI_3_4_z075,0.056578535586595535,0.012516393326222897,19.025207800891508,0.6786924586244981,0.25778457522392273
YG_2LEC0G5PJYWI_3_4_z078,0.07045894116163254,0.013538907282054424,18.684164001665806,0.6280839989364619,0.2679053246974945
YG_2LEC0G5PJYWI_3_4_z081,0.0686909481883049,0.013919798657298088,18.563670405973312,0.5825247190459266,0.3086753189563751
YG_2LEC0G5PJYWI_3_4_z084,0.07297930866479874,0.01445599365979433,18.39952053267429,0.5358053263016576,0.35455283522605896
YG_2LEC0G5PJYWI_3_4_z087,0.06320610642433167,0.012114492245018482,19.166947763139774,0.5474991327327179,0.314096063375473
YG_2LEC0G5PJYWI_3_4_z090,0.08767073601484299,0.015245863236486912,18.168479771891782,0.6696648628260247,0.26353028416633606
YG_2LEC0G5PJYWI_3_4_z093,0.06140453740954399,0.010419650934636593,19.821467995988726,0.4851276293957413,0.39736369252204895
YG_2LEC0G5PJYWI_3_4_z096,0.06050870940089226,0.009280281141400337,20.324388499628718,0.6395152726767506,0.2885122001171112
YG_2LEC0G5PJYWI_3_4_z099,0.05148918926715851,0.007852522656321526,21.049908036840815,0.6165026245375078,0.2682328522205353
YG_2LEC0G5PJYWI_3_4_z102,0.06378873437643051,0.010804952122271061,19.66377101057929,0.6364234160133918,0.2481250762939453
YG_2LEC0G5PJYWI_3_4_z105,0.08574570715427399,0.017970258370041847,17.454456737503893,0.5588225628292167,0.3112735450267792
YG_2LEC0G5PJYWI_3_4_z108,0.06935889273881912,0.011772722005844116,19.291231257991175,0.6329409232292765,0.25036507844924927
YG_2LEC0G5PJYWI_3_4_z111,0.0490870364010334,0.007718436885625124,21.124706330869746,0.6302213884220823,0.2685945928096771
YG_2LEC0G5PJYWI_3_4_z114,0.0435054711997509,0.006267432123422623,22.029103827237762,0.6579443273145944,0.23551058769226074
YG_2LEC0G5PJYWI_3_4_z117,0.05340832471847534,0.008995132520794868,20.459924322182516,0.6808498488282662,0.24130454659461975
YG_2LEC0G5PJYWI_3_4_z120,0.03959345445036888,0.005417285021394491,22.662183250392232,0.7119618633611081,0.23301386833190918
YG_2LEC0G5PJYWI_3_4_z123,0.054897669702768326,0.007936985231935978,21.003444484362475,0.6598925288347919,0.24512700736522675
YG_2LEC0G5PJYWI_3_4_z126,0.035840779542922974,0.0046337665989995,23.34065845764976,0.6540818451436603,0.3187156021595001
YG_2LEC0G5PJYWI_3_4_z129,0.03480484336614609,0.004739916883409023,23.242292421702494,0.7148578082808774,0.2498072385787964
YG_2LEC0G5PJYWI_6_7_z075,0.05775511637330055,0.014758357778191566,18.309619842869132,0.6261209494258291,0.2926064133644104
